cliente,tempo_chegada,inicio_atendimento,fim_atendimento,tempo_espera
49,164.51999999999998,165.37999999999997,171.68999999999997,0.8599999999999852
50,167.85,167.85,170.37,0
51,168.56,170.37,174.54,1.8100000000000023
52,168.97,171.68999999999997,172.69999999999996,2.7199999999999704
53,170.10999999999999,172.69999999999996,173.47999999999996,2.589999999999975
54,171.47,173.47999999999996,176.82999999999996,2.0099999999999625
55,174.0,174.54,176.73999999999998,0.539999999999992
56,175.73,176.73999999999998,190.83999999999997,1.009999999999991
57,189.08999999999997,189.08999999999997,196.33999999999997,0
58,189.40999999999997,190.83999999999997,197.73999999999998,1.4300000000000068
59,190.10999999999996,196.33999999999997,208.03999999999996,6.230000000000018
60,190.63999999999996,197.73999999999998,198.17999999999998,7.100000000000023
61,193.81999999999996,198.17999999999998,202.2,4.360000000000014
62,194.69999999999996,202.2,206.58999999999997,7.500000000000028
63,196.57999999999996,206.58999999999997,222.92999999999998,10.01000000000002
64,197.41999999999996,208.03999999999996,209.76999999999995,10.620000000000005
65,197.93999999999997,209.76999999999995,211.14999999999995,11.829999999999984
66,198.28999999999996,211.14999999999995,211.67999999999995,12.859999999999985
67,201.48999999999995,211.67999999999995,211.75999999999996,10.189999999999998
68,201.93999999999994,211.75999999999996,225.01999999999995,9.820000000000022
69,202.59999999999994,222.92999999999998,228.46999999999997,20.33000000000004
70,203.97999999999993,225.01999999999995,232.70999999999995,21.04000000000002
71,209.13999999999993,228.46999999999997,230.11999999999998,19.33000000000004
72,209.44999999999993,230.11999999999998,234.52999999999997,20.670000000000044
73,214.90999999999994,232.70999999999995,233.03999999999996,17.80000000000001
74,215.20999999999995,233.03999999999996,236.35999999999996,17.830000000000013
75,226.45999999999995,234.52999999999997,253.49999999999997,8.070000000000022
76,228.35999999999996,236.35999999999996,246.81999999999996,8.0
77,239.64999999999995,246.81999999999996,248.87999999999997,7.170000000000016
78,242.43999999999994,248.87999999999997,265.16999999999996,6.440000000000026
79,246.46999999999994,253.49999999999997,254.81999999999996,7.03000000000003
80,246.58999999999995,254.81999999999996,269.72999999999996,8.230000000000018
81,247.58999999999995,265.16999999999996,279.34999999999997,17.580000000000013
82,247.96999999999994,269.72999999999996,277.75999999999993,21.76000000000002
83,249.01999999999995,277.75999999999993,282.73999999999995,28.73999999999998
84,249.39999999999995,279.34999999999997,289.71999999999997,29.950000000000017
85,250.54999999999995,282.73999999999995,284.46999999999997,32.19
86,252.14999999999995,284.46999999999997,293.91999999999996,32.32000000000002
87,252.34999999999994,289.71999999999997,294.53,37.37000000000003
88,255.88999999999993,293.91999999999996,293.98999999999995,38.03000000000003
89,258.3999999999999,293.98999999999995,296.11999999999995,35.59000000000003
90,259.3299999999999,294.53,295.33,35.200000000000045
91,261.54999999999995,295.33,315.37,33.78000000000003
92,261.84999999999997,296.11999999999995,299.36999999999995,34.26999999999998
93,264.41999999999996,299.36999999999995,302.80999999999995,34.94999999999999
94,272.36999999999995,302.80999999999995,307.90999999999997,30.439999999999998
95,273.5199999999999,307.90999999999997,310.21,34.39000000000004
96,276.81999999999994,310.21,310.95,33.39000000000004
97,277.23999999999995,310.95,319.58,33.710000000000036
98,281.0199999999999,315.37,316.42,34.35000000000008
99,282.0399999999999,316.42,320.0,34.38000000000011
100,282.6499999999999,319.58,320.84999999999997,36.930000000000064
101,285.2999999999999,320.0,320.51,34.7000000000001
102,285.3599999999999,320.51,330.42,35.15000000000009
103,290.6599999999999,320.84999999999997,338.89,30.190000000000055
104,290.6699999999999,330.42,346.62,39.750000000000114
105,294.0699999999999,338.89,350.74,44.82000000000011
106,295.0099999999999,346.62,354.06,51.61000000000013
107,298.9999999999999,350.74,352.77,51.74000000000012
108,308.82999999999987,352.77,353.19,43.94000000000011
109,309.6899999999999,353.19,355.8,43.500000000000114
110,312.26999999999987,354.06,355.38,41.790000000000134
111,314.95999999999987,355.38,356.09,40.42000000000013
112,317.5099999999999,355.8,356.07,38.290000000000134
113,318.26999999999987,356.07,362.54,37.800000000000125
114,327.4299999999999,356.09,356.15,28.660000000000082
115,329.20999999999987,356.15,363.51,26.94000000000011
116,334.82999999999987,362.54,363.33000000000004,27.71000000000015
117,338.4399999999999,363.33000000000004,363.74000000000007,24.890000000000157
118,339.4999999999999,363.51,363.98,24.010000000000105
119,344.5399999999999,363.74000000000007,369.31000000000006,19.20000000000016
120,346.0599999999999,363.98,365.39000000000004,17.92000000000013
121,352.4499999999999,365.39000000000004,368.12000000000006,12.940000000000168
122,355.0599999999999,368.12000000000006,372.20000000000005,13.060000000000173
123,361.45999999999987,369.31000000000006,379.1600000000001,7.850000000000193
124,364.9999999999999,372.20000000000005,378.69000000000005,7.200000000000159
125,368.8799999999999,378.69000000000005,380.27000000000004,9.810000000000173
126,370.96999999999986,379.1600000000001,379.86000000000007,8.190000000000225
127,380.34999999999985,380.34999999999985,380.6299999999998,0
128,383.4499999999999,383.4499999999999,385.2399999999999,0
129,385.09999999999985,385.09999999999985,386.61999999999983,0
130,387.89999999999986,387.89999999999986,390.9499999999999,0
131,387.95999999999987,387.95999999999987,393.70999999999987,0
132,389.03999999999985,390.9499999999999,396.89999999999986,1.910000000000025
133,392.27999999999986,393.70999999999987,395.3799999999999,1.4300000000000068
134,393.30999999999983,395.3799999999999,397.76999999999987,2.07000000000005
135,396.1999999999998,396.89999999999986,397.89999999999986,0.7000000000000455
136,397.8799999999998,397.8799999999998,405.6499999999998,0
137,398.3199999999998,398.3199999999998,398.60999999999984,0
138,399.3799999999998,399.3799999999998,405.34999999999985,0
139,401.9099999999998,405.34999999999985,412.8899999999999,3.4400000000000546
140,404.5899999999998,405.6499999999998,413.1599999999998,1.0600000000000023
141,407.1499999999998,412.8899999999999,414.3899999999999,5.740000000000066
142,410.3299999999998,413.1599999999998,415.4999999999998,2.829999999999984
